Website,Found API Info,RSS Feeds
https://www.abilityone.gov/,,documents/UPDATED DRAFT Commission Policy 51.405 for Public Feedback 7Jan2025 1612-a.docx
https://www.achp.gov/,,/contact/feedback
https://www.africom.mil/,"Subpage found: https://www.africom.mil/api, Subpage found: https://www.africom.mil/developers, Subpage found: https://www.africom.mil/documentation",/command-feedback
https://www.ahrq.gov/,"Link to /programs/index.html?search_api_views_fulltext=&field_program_topics=14172, Link to /tools/index.html?search_api_views_fulltext=&field_toolkit_topics=14169&sort_by=title&sort_order=ASC, Link to /tools/index.html?search_api_views_fulltext=&field_toolkit_topics=14167&sort_by=title&sort_order=ASC, Link to /programs/index.html?search_api_views_fulltext=&field_program_topics=14171, Link to /tools/index.html?search_api_views_fulltext=&field_toolkit_topics=14168&sort_by=title&sort_order=ASC, Link to /tools/index.html?search_api_views_fulltext=&field_toolkit_topics=14166&sort_by=title&sort_order=ASC, Link to /programs/index.html?search_api_views_fulltext=&field_program_topics=14208, Link to /tools/index.html?search_api_views_fulltext=&field_toolkit_topics=14170&sort_by=title&sort_order=ASC, Link to /programs/index.html?search_api_views_fulltext=&field_program_topics=14175, Link to /programs/index.html?search_api_views_fulltext=&field_program_topics=14173, Link to /programs/index.html?search_api_views_fulltext=&field_program_topics=14177, Link to /programs/index.html?search_api_views_fulltext=&field_program_topics=14174, Link to /programs/index.html?search_api_views_fulltext=&field_program_topics=14176",
http://www.usaid.gov/,"Subpage found: http://www.usaid.gov/documentation, Subpage found: http://www.usaid.gov/api, Subpage found: http://www.usaid.gov/developers",
https://www.atsdr.cdc.gov/,,https://www.cdc.gov/rss
https://www.ams.usda.gov/,,https://www.usda.gov/about-usda/policies-and-links/digital/rss-feeds
https://www.ars.usda.gov/,"Link to /docs/quality-of-information/, Link to /docs/headquarters-information/",
https://www.usda.gov/,"Subpage found: https://www.usda.gov/developers, Subpage found: https://www.usda.gov/api","mailto:feedback@oc.usda.gov, /rss-feeds"
https://www.nal.usda.gov/,Link to https://www.ars.usda.gov/docs/quality-of-information/,/services/data-management-planning#toc-dmp-feedback-and-review
https://www.af.mil/,,"https://www.af.mil/DesktopModules/ArticleCS/RSS.ashx?ContentType=1&Site=1&Category=22363%2c24081%2c24397%2c22751%2c23106%2c24385%2c22077%2c22518%2c20214&isdashboardselected=0&max=20, /RSS, https://www.af.mil/DesktopModules/ArticleCS/RSS.ashx?ContentType=1&Site=1&Category=23105%2c16032&isdashboardselected=0&max=20, https://www.af.mil/DesktopModules/ArticleCS/RSS.ashx?ContentType=1&Site=1&Category=14852&isdashboardselected=0&max=20"
https://www.ttb.gov,,/online-services/rss/rss-feeds-from-ttb
https://www.atf.gov/,"Link to https://www.atf.gov/firearms/docs/open-letter/vermont-november-2024-open-letter-enactment-vermont-statute-13-vsa-%C2%A7-4019a/download , Link to /firearms/docs/report/2021-firearms-commerce-report/download, Link to https://www.atf.gov/firearms/docs/open-letter/vermont-november-2024-open-letter-enactment-vermont-statute-13-vsa-%C2%A7-4019a/download",
https://www.alhurra.com/,Link to /decision-capital,/rssfeeds
https://americorps.gov/,Link to https://www.oge.gov/web/oge.nsf/section_landing_ethics-docs,
https://americorps.gov/serve/americorps-seniors,Link to https://www.oge.gov/web/oge.nsf/section_landing_ethics-docs,
https://www.aphis.usda.gov/aphis/home/,,"/trade-feedback, /wildlife-feedback, /plant-feedback, /animal-welfare-feedback, /biotechnology-feedback, /animal-health-feedback"
https://www.justice.gov/atr,,/atr/news-feeds
https://www.arc.gov/,Link to https://www.arc.gov/access-to-capital-projects/,
https://www.aoc.gov/,"Link to https://www.aoc.gov/explore-capitol-campus/art, Link to https://x.com/uscapitol, Link to /explore-capitol-campus, Link to /explore-capitol-campus/blog, Link to /explore-capitol-campus/buildings-grounds, Link to https://www.aoc.gov/explore-capitol-campus/blog, Link to https://www.facebook.com/ArchitectoftheCapitol, Link to /explore-capitol-campus/visitor-resources, Link to https://www.flickr.com/photos/uscapitol, Link to https://instagram.com/uscapitol, Link to /explore-capitol-campus/capitol-hill-facts, Link to https://www.aoc.gov/explore-capitol-campus/buildings-grounds, Link to /explore-capitol-campus/blog/hallowed-figure-american-art-and-culture-bald-eagle, Link to https://www.visitthecapitol.gov, Link to /explore-capitol-campus/art",
https://www.archives.gov/,"Link to /founding-docs, Subpage found: https://www.archives.gov/developers, Link to /founding-docs/",
https://www.army.mil/,Link to https://api.army.mil/e2/c/images/2025/02/13/8c46b75d/original.jpg,
http://www.usace.army.mil/,,"https://www.usace.army.mil/DesktopModules/ArticleCS/RSS.ashx?ContentType=9&Site=420&Category=20166&isdashboardselected=0&max=20, https://www.usace.army.mil/Contact/RSS/"
https://goldwater.scholarsapply.org/,"Subpage found: https://goldwater.scholarsapply.org/documentation, Subpage found: https://goldwater.scholarsapply.org/api, Subpage found: https://goldwater.scholarsapply.org/developers",
https://www.bpa.gov,"Link to /about/finance/capital-hydropower-improvement-projects, Link to /about/finance/capital-access",
https://www.ttb.gov,,/online-services/rss/rss-feeds-from-ttb
https://www.atf.gov/,"Link to https://www.atf.gov/firearms/docs/open-letter/vermont-november-2024-open-letter-enactment-vermont-statute-13-vsa-%C2%A7-4019a/download , Link to /firearms/docs/report/2021-firearms-commerce-report/download, Link to https://www.atf.gov/firearms/docs/open-letter/vermont-november-2024-open-letter-enactment-vermont-statute-13-vsa-%C2%A7-4019a/download",
http://travel.state.gov/,"Subpage found: http://travel.state.gov/developers, authentication, Link to /content/travel/en/replace-certify-docs/requesting-a-record.html, Link to /content/travel/en/replace-certify-docs/authenticate-your-document.html, Subpage found: http://travel.state.gov/documentation, Subpage found: http://travel.state.gov/api, Link to /content/travel/en/replace-certify-docs.html",/content/travel/en/rss.html
https://www.bea.gov/,"Link to /resources/developer-tools, Link to https://apps.bea.gov/API/signup/, Subpage found: https://www.bea.gov/developers, Link to /resources/for-developers, Subpage found: https://www.bea.gov/api, developers",https://apps.bea.gov/rss/rss.xml
https://www.moneyfactory.gov/,"Subpage found: https://www.moneyfactory.gov/documentation, Subpage found: https://www.moneyfactory.gov/developers, Subpage found: https://www.moneyfactory.gov/api","/sitemap.xml, /feedback"
https://www.bia.gov/,,/sitemap.xml
https://www.bis.doc.gov/,"authentication, Subpage found: https://www.bis.doc.gov/documentation, Subpage found: https://www.bis.doc.gov/api, Subpage found: https://www.bis.doc.gov/developers",/rss.xml
https://www.bjs.gov/,"Subpage found: https://www.bjs.gov/developers, Subpage found: https://www.bjs.gov/api, Subpage found: https://www.bjs.gov/documentation, Link to https://bjs.ojp.gov/library/publications/capital-punishment-2022-statistical-tables",
https://www.blm.gov/,,"/info/RSS-feeds, /feedback"
https://www.boem.gov/,,/webteam/rss/boem-rss.xml
https://www.bop.gov/,,/website/feedback.jsp
https://www.bsee.gov/,,/research/research-support-section-rss
https://www.census.gov/,"Subpage found: https://www.census.gov/api, developers, Subpage found: https://www.census.gov/developers, Link to https://www.census.gov/developers/",
http://www.fiscal.treasury.gov,,https://www.treasurydirect.gov/rss/index.htm
https://www.uscp.gov/,"Link to http://www.uscp.gov/visiting-capitol-hill/regulations-prohibitions, Link to https://www.facebook.com/uscapitolpolice, Link to /visiting-capitol-hill/official-business/official-business-building-access-hours, Link to /visiting-capitol-hill/regulations-prohibitions, Link to mailto:USCapitolPolice@uscp.gov?subject=Web%20Mail&body=From%20USCP.gov, Link to /visiting-capitol-hill, Link to https://twitter.com/CapitolPolice, Link to https://www.visitthecapitol.gov/visit/book-a-tour, Link to /visiting-capitol-hill/visitor-information/getting-capitol-hill, Link to /visiting-capitol-hill/security-screening-visitors-disabilities-medical-conditions-medical-devices, Link to /visiting-capitol-hill/regulations-prohibitions/prohibited-items, Link to /news/public-information-reporting-capitol-hill, Link to http://www.uscp.gov/visiting-capitol-hill/regulations-prohibitions/prohibited-items, Link to /visiting-capitol-hill/official-business/law-enforcement-personnel, Link to /visiting-capitol-hill/activities-requiring-permits, Link to http://www.uscp.gov/visiting-capitol-hill",
http://www.visitthecapitol.gov,"Link to https://shop.visitthecapitol.gov/, Link to /discover-capitol-symbols, Link to /capitol-conversations, Link to /live-virtual-capitol-tour, Link to /education-resource/discover-capitol-architecture, Link to https://shop.visitthecapitol.gov, Link to https://www.instagram.com/visitthecapitol, Link to https://www.facebook.com/USCapitol, Link to /explore/the-capitol, Link to https://www.youtube.com/user/visitthecapitol, Link to https://twitter.com/visitthecapitol",
https://www.census.gov/,"Subpage found: https://www.census.gov/api, developers, Subpage found: https://www.census.gov/developers, Link to https://www.census.gov/developers/",
