Category,Agency,Website,Description
Businesses,"California Board of Accountancy
                  (CBA)",https://www.dca.ca.gov/cba/index.shtml,To protect consumers by ensuring only qualified licensees practice public accountancy in accordance with established professional standards. All consumers are well-informed and receive quality accounting services from licensees they can trust.
Assistance and social programs,"California Achieving a Better Life Experience
                  (CalABLE)",https://www.treasurer.ca.gov/able/,"California Achieving a Better Life Experience (CalABLE) is a new State Board, tasked with administering an investment tool that will allow people with disabilities to establish a tax-advantaged ABLE account that allows them to save up to $14,000 (currently) per year and up to $475,000 in total without losing vital public state means- tested benefits and up to $100,000 without losing SSI."
"Health and wellness, Jobs and unemployment","California Acupuncture Board
                  (Board)",https://www.acupuncture.ca.gov,"California Acupuncture Board (Board) is mandated to regulate the practice of Asian medicine through acupuncture in California and is the sole issuer of acupuncture licenses in the state. The Board establishes and maintains entry standards of qualification and conduct within the acupuncture profession, primarily through its authority to license."
"Personal records, State info and laws","Office of Administrative Hearings
                  (OAH)",https://www.dgs.ca.gov/OAH,"The Office of Administrative Hearings (OAH) is a quasi-judicial tribunal that hears administrative disputes. OAH is divided into two, statewide divisions: General Jurisdiction Division and the Special Education Division."
State info and laws,"Office of Administrative Law
                  (OAL)",https://oal.ca.gov,"The Office of Administrative Law (OAL) reviews regulation changes proposed by state agencies for legal and procedural compliance before the regulations can become law, among other regulatory oversight activities."
"Health and wellness, State info and laws","California Commission on Aging
                  (CCOA)",https://ccoa.ca.gov/,"The California Commission on Aging serves as the principal advocate in the state on behalf of older individuals, including, but not limited to, advisory participation in the consideration of all legislation and regulations made by state and federal departments and agencies relating to programs and services that affect older individuals."
"Assistance and social programs, Health and wellness","Department of Aging
                  (AGING)",https://www.aging.ca.gov/,"The California Department of Aging (CDA) administers programs that serve older adults, adults with disabilities, and family caregivers throughout the state. These services are provided locally by California's Area Agencies on Aging, and Medi-Cal Community Based Adult Services Program and Medi-Cal Multipurpose Senior Services Program, or other contracted agencies.
California's aging services network provides critical programs and services to older adults:  
Food & Nutrition 
Adult Day Health Care Centers 
Information & Referral Home & Community Services 
Family Caregiver Services 
Medicare Counseling 
Legal Services 
Senior Employment Training 
Fall Prevention 
Friendship Line California warmline"
"Businesses, Health and wellness, Jobs and unemployment","Agricultural Labor Relations Board
                  (ALRB)",https://www.alrb.ca.gov/,"The California Agricultural Labor Relations Board was created in 1975 to ensure peace in the fields of California by guaranteeing justice for all agricultural workers and stability in agricultural labor relations. The Board seeks to achieve these ends by providing orderly processes for protecting, implementing, and enforcing the respective rights and responsibilities of employees, employers and labor organizations in their relations with each other."
Health and wellness,"Air Resources Board
                  (ARB)",https://ww2.arb.ca.gov/,"The California Air Resources Board (ARB) gathers air quality (AQ) data for the State of California, ensures the quality of this data, designs and implements air models, and sets ambient air quality standards for the state."
Health and wellness,"Alcoholic Beverage Control Appeals Board
                  (ABCAB)",https://abcab.ca.gov/,The Alcoholic Beverage Control Appeals Board provides quasi-judicial administrative review of decisions of the Department of Alcoholic Beverage Control.
Health and wellness,"Department of Alcoholic Beverage Control
                  (ABC)",https://www.abc.ca.gov/,"The Department of Alcoholic Beverage Control aims to administer the provisions of the Alcoholic Beverage Control Act in a manner that fosters and protects the health safety, welfare, and economic well being of the people of the State."
"Education, State info and laws, Taxes","State Allocation Board
                  (SAB)",https://www.dgs.ca.gov/OPSC/About,"The SAB membership is comprised of the Director of Finance (the traditional chair), the Director of the Department of General Services, the Superintendent of Public Instruction, three members of the Senate, three members of the Assembly, and one appointee by the Governor. The SAB meets monthly to apportion funds to the school districts, act on appeals, and adopt policies and regulations."
Taxes,"California Alternative Energy and Advanced Transportation Financing Authority
                  (CAEATFA)",https://www.treasurer.ca.gov/caeatfa/,"CAEATFA works collaboratively with public and private partners to provide innovative and effective financing solutions for California’s industries, assisting in reducing the state’s greenhouse gas emissions by increasing the development and deployment of renewable energy sources, energy efficiency, and advanced transportation and manufacturing technologies to reduce air pollution, conserve energy, and promote economic development and jobs."
