Category,Agency,Website,Description
Transportation and Utilities,511NY,https://www.ny.gov/agencies/511ny,"511 New York is the free, official one-stop, all-encompassing telephone and Web service offering information on transportation services and conditions throughout New York State. This information is available 24 hours a day, seven days a week."
Local and Regional Authorities,Adirondack Park Agency,https://www.ny.gov/agencies/adirondack-park-agency,The Adirondack Park Agency (APA) was created in 1971 by the New York State Legislature to develop long-range land use plans for both public and private lands within the boundary of the Park. The APA is a New York State governmental agency with an...
Local and Regional Authorities,Authorities Budget Office,https://www.ny.gov/agencies/authorities-budget-office,"The Authorities Budget Office makes public authorities more accountable and transparent, and acts in the public interest consistent with their intended purpose."
Local and Regional Authorities,Battery Park City Authority,https://www.ny.gov/agencies/battery-park-city-authority,"Battery Park City Authority creates and maintains a balanced community of commercial, residential, retail, and park space within a 92-acre site on Manhattan's lower west side."
Business,Board of Elections,https://www.ny.gov/agencies/board-elections,"The State Board of Elections is responsible for administration and enforcement of all election laws, and regulates disclosure and limitations of campaign practices."
Transportation and Utilities,Bridge Authority,https://www.ny.gov/agencies/bridge-authority,"The New York State Bridge Authority maintains and operates five bridges in the Hudson Valley, connecting counties to the east and west of the Hudson River."
Transportation and Utilities,Canal Corporation,https://www.ny.gov/agencies/canal-corporation,"The New York State Canal system is a navigable 524-mile inland waterway that passes through 25 counties and close to 200 villages, hamlets, and towns in upstate New York."
Recreation and Environment,Central Pine Barrens Joint Planning and Policy Commission,https://www.ny.gov/agencies/central-pine-barrens-joint-planning-and-policy-commission,"The Central Pine Barrens Joint Planning and Policy Commission oversees the preservation and appropriate patterns of development in the 100,000+ acre region in Suffolk County."
Education,City University of New York,https://www.ny.gov/agencies/city-university-new-york,"CUNY provides high-quality, accessible education for more than 269,000 degree-credit students and 247,000 continuing and professional education students at 24 campuses in NYC."
Public Safety,Commission of Correction,https://www.ny.gov/agencies/commission-correction,"The Commission of Correction is an oversight agency tasked with evaluating all state correctional facilities, county jails, local police lock-ups and secure centers operated by the State Office of Children and Family Services."
Administration,Commission on Ethics and Lobbying in Government,https://www.ny.gov/agencies/commission-ethics-and-lobbying-government,"The Commission on Ethics and Lobbying in Government was created to restore public trust in government by providing training and guidance on, and enforcement of, the State's ethics and lobbying laws, and promoting transparency in government through..."
Administration,Commission on Judicial Conduct,https://www.ny.gov/agencies/commission-judicial-conduct,The Commission on Judicial Conduct is responsible for investigating complaints of misconduct against judges of the state unified court system.
Administration,Commission on Prosecutorial Conduct,https://www.ny.gov/agencies/commission-prosecutorial-conduct,The Commission on Prosecutorial Conduct investigates prosecutorial conduct in New York State to strengthen oversight of New York’s prosecutors and to hold them to the highest ethical standards.
Business,"Corcraft Products (Department of Correctional Services, Division of Industries)",https://www.ny.gov/agencies/corcraft-products-department-correctional-services-division-industries,"To employ inmates in substantive jobs that help teach a good work ethic and valuable work skills, to help offset the cost of incarceration, to help reduce disruption in the prison environment and to meet expectations of New York State’s citizens."
Health and Human Services,Council on Children and Families,https://www.ny.gov/agencies/council-children-and-families,"Established by Chapter 757 of the laws of 1977, the Council provides a comprehensive, cross-systems perspective critical for solutions to interagency issues regarding services for children and families."
Health and Human Services,Council on Developmental Disabilities,https://www.ny.gov/agencies/council-developmental-disabilities,"The NYSCDD enhances the lives of New Yorkers with Developmental Disabilities and their families through programs that promote self-advocacy, participation, and inclusion in all facets of community life."
Recreation and Environment,Council on the Arts,https://www.ny.gov/agencies/council-arts,New York State Council on the Arts (NYSCA) is an agency of the Executive Branch of the New York State Government dedicated to preserving and expanding the rich and diverse cultural resources that are and will become the heritage of New York's...
"Business, Recreation and Environment",Department of Agriculture and Markets,https://www.ny.gov/agencies/department-agriculture-and-markets,"To promote New York agriculture and its high-quality and diverse products, foster agricultural environmental stewardship, and safeguard the State's food supply, land and livestock."
Business,Department of Civil Service,https://www.ny.gov/agencies/department-civil-service,The Department of Civil Service is the State’s principal human resources provider for the Executive Branch of Government.
Public Safety,Department of Corrections and Community Supervision,https://www.ny.gov/agencies/department-corrections-and-community-supervision,"Enhance public safety by providing treatment services in safe facilities where needs are addressed in preparation for reentry, followed by supportive services under community supervision reducing recidivism."
Education,Department of Education,https://www.ny.gov/agencies/department-education,"The Education Department’s goals are to raise the knowledge, skill, and opportunity of all New Yorkers."
Recreation and Environment,Department of Environmental Conservation,https://www.ny.gov/agencies/department-environmental-conservation,"The NYS Department of Environmental Conservation’s mission is to conserve, improve and protect New York's natural resources and environment."
Business,Department of Financial Services,https://www.ny.gov/agencies/department-financial-services,The Department of Financial Services regulates New York’s financial service industry to guard against financial crises and to protect consumers and markets from fraud.
Health and Human Services,Department of Health,https://www.ny.gov/agencies/department-health,"To protect, improve and promote the health, productivity and well-being of all New Yorkers."
Business,Department of Labor,https://www.ny.gov/agencies/department-labor,"The mission of the New York State Department of Labor is to protect workers, assist the unemployed and connect job seekers to jobs."
Transportation and Utilities,Department of Motor Vehicles,https://www.ny.gov/agencies/department-motor-vehicles,"DMV issues secure identity documents, delivers essential motor vehicle and driver related services, and administers motor vehicle laws to promote safety and protect consumers."
Transportation and Utilities,Department of Public Service,https://www.ny.gov/agencies/department-public-service,"The Commission sets rates and ensures New York’s regulated utilities provide safe, reliable and adequate electric, gas, steam, telecommunications, water, and cable services."
Business,Department of State,https://www.ny.gov/agencies/department-state,"The NY Department of State provides many essential services to New Yorkers – Professional and Business Licensing, Incorporation, Consumer Protection and Local Government Services."
Business,Department of Taxation and Finance,https://www.ny.gov/agencies/department-taxation-and-finance,To efficiently collect tax revenues in support of State services and programs while acting with integrity and fairness in the administration of the tax laws of New York State.
Transportation and Utilities,Department of Transportation,https://www.ny.gov/agencies/department-transportation,"It is the mission of the New York State Department of Transportation to ensure our customers – those who live, work and travel in New York State – have a safe, efficient, balanced and environmentally sound transportation system."
Health and Human Services,Department of Veterans' Services,https://www.ny.gov/agencies/department-veterans-services,"NYS DVS advocates on behalf of New York’s Veterans and their families, to ensure they receive benefits granted by law for service in the United States Armed Forces."
Business,Division of Consumer Protection,https://www.ny.gov/agencies/division-consumer-protection,"The mission of the Division of Consumer Protection is to protect, educate and represent consumers in an ever changing economy. From educating the public on marketplace scams prevention to advocating consumer’s interest before legislative and..."
Public Safety,Division of Criminal Justice Services,https://www.ny.gov/agencies/division-criminal-justice-services,The New York State Division of Criminal Justice Services is a multi-function criminal justice support agency. Our mission is to enhance public safety by providing resources and services that inform decision making and improve the quality of the...
Public Safety,Division of Homeland Security and Emergency Services,https://www.ny.gov/agencies/division-homeland-security-and-emergency-services,"Dedicated to working closely with all levels of government, the private sector, and volunteer organizations to improve the readiness, response and recovery capabilities of communities throughout New York State."
Health and Human Services,Division of Human Rights,https://www.ny.gov/agencies/division-human-rights,"The Division was created to enforce New York State’s Human Rights Law, the first such law in the nation. The mission of the agency is to ensure that ""every individual . . . has an equal opportunity to participate fully in the economic, cultural and..."
Public Safety,Division of Military and Naval Affairs,https://www.ny.gov/agencies/division-military-and-naval-affairs,"The New York National Guard provides fully capable military forces and facilities ready to execute global missions across unified air and land operations in support of our communities, state and nation."
Public Safety,Division of State Police,https://www.ny.gov/agencies/division-state-police,"To serve, protect and defend the people while preserving the rights and dignity of all."
Business,Division of Tax Appeals and Tax Appeals Tribunal,https://www.ny.gov/agencies/division-tax-appeals-and-tax-appeals-tribunal,"The Division of Tax Appeals is an independent and impartial body that resolves tax and licensing disputes, and is headed by the Tax Appeals Tribunal."
Administration,Division of the Budget,https://www.ny.gov/agencies/division-budget,"DOB assists the governor in preparing his Executive Budget, offers fiscal policy advice to the governor's office, and administers and monitors expenditures."
Business,Dormitory Authority,https://www.ny.gov/agencies/dormitory-authority,"DASNY is NYS’s public finance & construction authority. DASNY is authorized to finance, design, construct or rehabilitate facilities for certain public and private not-for-profit entities.not-for-profit institutions."
Business,Empire State Development,https://www.ny.gov/agencies/empire-state-development,"ESD works to attract new businesses to the state and support the growth of existing firms by means of financial incentives, real estate development, marketing, and small business services."
Transportation and Utilities,Energy Research and Development Authority,https://www.ny.gov/agencies/energy-research-and-development-authority,"NYSERDA offers objective information and analysis, innovative programs, technical expertise and funding to help New Yorkers increase energy efficiency and use renewable energy."
Recreation and Environment,Environmental Facilities Corporation,https://www.ny.gov/agencies/environmental-facilities-corporation,"EFC's environmental initiatives extend financial and technical assistance to municipalities, non-profits and small businesses, ensuring they meet water/air quality regulations."
Business,Financial Control Board,https://www.ny.gov/agencies/financial-control-board,The New York State Financial Control Board oversees the financial management of the New York City government and certain related public authorities.
Business,Gaming Commission,https://www.ny.gov/agencies/gaming-commission,"The Gaming Commission regulates legal gambling in New York, including horse racing, Indian gaming, the state lottery (including video lottery terminals), commercial casinos, and charitable gaming."
Recreation and Environment,Geographic Information Systems (GIS),https://www.ny.gov/agencies/geographic-information-systems-gis,"The NYS Geospatial Advisory Council coordinates, promotes and facilitates the development, effective use, and sharing of geographic information."
Transportation and Utilities,Governor's Traffic Safety Committee,https://www.ny.gov/agencies/governors-traffic-safety-committee,"Governor's Traffic Safety Committee awards Federal grant funds to local, state and nonprofit agencies to improve highway safety and reduce deaths and due to crashes."
Education,Higher Education Services Corporation,https://www.ny.gov/agencies/higher-education-services-corporation,The Higher Education Services Corporation (HESC) is New York State’s higher education student financial aid agency. HESC’s mission: We help people pay for college.
Health and Human Services,Homes and Community Renewal,https://www.ny.gov/agencies/homes-and-community-renewal,"New York State Homes and Community Renewal (HCR) consists of all the State's major housing and community renewal agencies, including The Affordable Housing Corporation, The Division of Housing and Community Renewal, Housing Finance Agency, State of..."
Health and Human Services,Housing Finance Agency/State of NY Mortgage Agency (SONYMA),https://www.ny.gov/agencies/housing-finance-agencystate-ny-mortgage-agency-sonyma,"SONYMA provides mortgage financing to assist low and moderate income first-time homebuyers who meet specific eligibility criteria, in the purchase of 1-4 unit residences."
Recreation and Environment,Hudson River Park Trust,https://www.ny.gov/agencies/hudson-river-park-trust,"Hudson River Park Trust is charged with the design, construction and operation of the 5-mile Hudson River Park, the largest open space project in Manhattan since Central Park."
Recreation and Environment,Hudson River Valley Greenway,https://www.ny.gov/agencies/hudson-river-valley-greenway,The Hudson River Valley Greenway facilitates the development of a regional strategy for preserving natural resources while encouraging economic development.
Recreation and Environment,Jacob K. Javits Convention Center,https://www.ny.gov/agencies/jacob-k-javits-convention-center,"The Jacob K. Javits Convention Center of New York is the busiest convention center in the United States, hosting the world's leading conventions, trade shows and special events. Our elite teams of administrative and labor staff coordinate and..."
Health and Human Services,Justice Center for the Protection of People with Special Needs,https://www.ny.gov/agencies/justice-center-protection-people-special-needs,The NYS Justice Center for the Protection of People with Special Needs is dedicated to supporting and protecting people with special needs and disabilities.
Business,Liquidation Bureau,https://www.ny.gov/agencies/liquidation-bureau,The New York Liquidation Bureau carries out the duties of the Superintendent of Financial Services in his capacity as receiver of impaired or insolvent insurance companies.
